pkSeqID,stime,flgs,flgs_number,proto,proto_number,saddr,sport,daddr,dport,pkts,bytes,state,state_number,ltime,seq,dur,mean,stddev,sum,min,max,spkts,dpkts,sbytes,dbytes,rate,srate,drate,TnBPSrcIP,TnBPDstIP,TnP_PSrcIP,TnP_PDstIP,TnP_PerProto,TnP_Per_Dport,AR_P_Proto_P_SrcIP,AR_P_Proto_P_DstIP,N_IN_Conn_P_DstIP,N_IN_Conn_P_SrcIP,AR_P_Proto_P_Sport,AR_P_Proto_P_Dport,Pkts_P_State_P_Protocol_P_DestIP,Pkts_P_State_P_Protocol_P_SrcIP,attack,category,subcategory
3415089,1528099367,e,1,udp,3,192.168.100.148,26035,192.168.100.3,80,1,5,INT,4,1528099381,1,13.721196,3.208833,1.289102,9.626497,1.386183,4.153834,10,0,5,0,0.655919,0.655919,0,6660,35280,111,588,588,588,0.67414,0.585246,96,12,0.728799,0.585246,588,111,1,DDoS,UDP
3415090,1528099367,e,1,udp,3,192.168.100.148,26036,192.168.100.3,80,1,5,INT,4,1528099381,2,13.721195,2.757186,1.130034,8.271557,1.386182,4.153833,9,0,5,0,0.58304,0.58304,0,6660,35280,111,588,588,588,0.67414,0.585246,96,12,0.65592,0.585246,588,111,1,DDoS,UDP
3415091,1528099367,e,1,udp,3,192.168.100.148,26037,192.168.100.3,80,1,5,INT,4,1528099381,3,13.721195,2.757186,1.130034,8.271558,1.386183,4.153833,9,0,5,0,0.58304,0.58304,0,6660,35280,111,588,588,588,0.67414,0.585246,96,12,0.65592,0.585246,588,111,1,DDoS,UDP
3415092,1528099367,e,1,udp,3,192.168.100.148,26038,192.168.100.3,80,1,5,INT,4,1528099381,4,13.721195,2.757185,1.130034,8.271557,1.386182,4.153833,9,0,5,0,0.58304,0.58304,0,6660,35280,111,588,588,588,0.67414,0.585246,96,12,0.65592,0.585246,588,111,1,DDoS,UDP
3415093,1528099367,e,1,udp,3,192.168.100.148,26039,192.168.100.3,80,1,5,INT,4,1528099381,5,13.721195,2.757186,1.130034,8.271557,1.386183,4.153833,9,0,5,0,0.58304,0.58304,0,6660,35280,111,588,588,588,0.67414,0.585246,96,12,0.65592,0.585246,588,111,1,DDoS,UDP
3415094,1528099367,e,1,udp,3,192.168.100.148,26040,192.168.100.3,80,1,5,INT,4,1528099381,6,13.721196,3.208831,1.289101,9.626493,1.386183,4.153833,10,0,5,0,0.655919,0.655919,0,6660,35280,111,588,588,588,0.67414,0.585246,96,12,0.728799,0.585246,588,111,1,DDoS,UDP
3415095,1528099367,e,1,udp,3,192.168.100.148,26041,192.168.100.3,80,1,5,INT,4,1528099381,7,13.721195,2.757186,1.130034,8.271557,1.386183,4.153833,9,0,5,0,0.58304,0.58304,0,6660,35280,111,588,588,588,0.67414,0.585246,96,12,0.65592,0.585246,588,111,1,DDoS,UDP
3415096,1528099367,e,1,udp,3,192.168.100.148,26042,192.168.100.3,80,1,5,INT,4,1528099381,8,13.721195,2.757185,1.130033,8.271555,1.386183,4.153832,9,0,5,0,0.58304,0.58304,0,6660,35280,111,588,588,588,0.67414,0.585246,96,12,0.65592,0.585246,588,111,1,DDoS,UDP
3415097,1528099367,e,1,udp,3,192.168.100.148,26043,192.168.100.3,80,1,5,INT,4,1528099381,9,13.721195,2.757185,1.130033,8.271557,1.386183,4.153833,9,0,5,0,0.58304,0.58304,0,6660,35280,111,588,588,588,0.67414,0.585246,96,12,0.65592,0.585246,588,111,1,DDoS,UDP
3415098,1528099367,e,1,udp,3,192.168.100.148,26044,192.168.100.3,80,1,5,INT,4,1528099381,10,13.721194,2.757185,1.130034,8.271555,1.386182,4.153833,9,0,5,0,0.58304,0.58304,0,6660,35280,111,588,588,588,0.67414,0.585246,96,12,0.65592,0.585246,588,111,1,DDoS,UDP
3415099,1528099367,e,1,udp,3,192.168.100.148,26045,192.168.100.3,80,1,5,INT,4,1528099381,11,13.721195,2.757185,1.130033,8.271557,1.386183,4.153833,9,0,5,0,0.58304,0.58304,0,6660,35280,111,588,588,588,0.67414,0.585246,96,12,0.65592,0.585246,588,111,1,DDoS,UDP
3415100,1528099367,e,1,udp,3,192.168.100.148,26046,192.168.100.3,80,1,5,INT,4,1528099381,12,13.721194,3.20883,1.2891,9.626489,1.386182,4.153833,10,0,5,0,0.65592,0.65592,0,6660,35280,111,588,588,588,0.67414,0.585246,96,12,0.7288,0.585246,588,111,1,DDoS,UDP
