pkSeqID,stime,flgs,flgs_number,proto,proto_number,saddr,sport,daddr,dport,pkts,bytes,state,state_number,ltime,seq,dur,mean,stddev,sum,min,max,spkts,dpkts,sbytes,dbytes,rate,srate,drate,TnBPSrcIP,TnBPDstIP,TnP_PSrcIP,TnP_PDstIP,TnP_PerProto,TnP_Per_Dport,AR_P_Proto_P_SrcIP,AR_P_Proto_P_DstIP,N_IN_Conn_P_DstIP,N_IN_Conn_P_SrcIP,AR_P_Proto_P_Sport,AR_P_Proto_P_Dport,Pkts_P_State_P_Protocol_P_DestIP,Pkts_P_State_P_Protocol_P_SrcIP,attack,category,subcategory
3415223,1528099368,e,1,udp,3,192.168.100.147,51374,192.168.100.3,80,15,900,INT,4,1528099381,135,13.974802,3.99901,0.792876,11.997031,3.018878,4.960755,15,0,900,0,1.001803,1.001803,0,68220,81420,1137,1357,1357,1357,1.04305,0.974858,100,78,1.07336,0.974858,1357,1137,1,DDoS,UDP
3415224,1528099368,e,1,udp,3,192.168.100.147,51375,192.168.100.3,80,15,900,INT,4,1528099381,136,13.974802,3.999011,0.792875,11.997032,3.018879,4.960756,15,0,900,0,1.001803,1.001803,0,68220,81420,1137,1357,1357,1357,1.04305,0.974858,100,78,1.07336,0.974858,1357,1137,1,DDoS,UDP
3415225,1528099368,e,1,udp,3,192.168.100.147,51376,192.168.100.3,80,15,900,INT,4,1528099381,137,13.974801,3.99901,0.792874,11.997031,3.018878,4.960755,15,0,900,0,1.001803,1.001803,0,68220,81420,1137,1357,1357,1357,1.04305,0.974858,100,78,1.07336,0.974858,1357,1137,1,DDoS,UDP
3415226,1528099368,e,1,udp,3,192.168.100.147,51377,192.168.100.3,80,15,900,INT,4,1528099381,138,13.974802,3.999011,0.792873,11.997032,3.018879,4.960755,15,0,900,0,1.001803,1.001803,0,68220,81420,1137,1357,1357,1357,1.04305,0.974858,100,78,1.07336,0.974858,1357,1137,1,DDoS,UDP
3415227,1528099368,e,1,udp,3,192.168.100.147,51378,192.168.100.3,80,15,900,INT,4,1528099381,139,13.974801,3.99901,0.792875,11.997029,3.018878,4.960754,15,0,900,0,1.001803,1.001803,0,68220,81420,1137,1357,1357,1357,1.04305,0.974858,100,78,1.07336,0.974858,1357,1137,1,DDoS,UDP
3415228,1528099368,e,1,udp,3,192.168.100.147,51379,192.168.100.3,80,15,900,INT,4,1528099381,140,13.974801,3.99901,0.792875,11.99703,3.018879,4.960755,15,0,900,0,1.001803,1.001803,0,68220,81420,1137,1357,1357,1357,1.04305,0.974858,100,78,1.07336,0.974858,1357,1137,1,DDoS,UDP
3415229,1528099368,e,1,udp,3,192.168.100.147,51380,192.168.100.3,80,15,900,INT,4,1528099381,141,13.974801,3.99901,0.792875,11.997029,3.018878,4.960754,15,0,900,0,1.001803,1.001803,0,68220,81420,1137,1357,1357,1357,1.04305,0.974858,100,78,1.07336,0.974858,1357,1137,1,DDoS,UDP
3415230,1528099368,e,1,udp,3,192.168.100.147,51381,192.168.100.3,80,15,900,INT,4,1528099381,142,13.9748,3.999009,0.792874,11.997028,3.018877,4.960754,15,0,900,0,1.001803,1.001803,0,68220,81420,1137,1357,1357,1357,1.04305,0.974858,100,78,1.07336,0.974858,1357,1137,1,DDoS,UDP
3415231,1528099368,e,1,udp,3,192.168.100.147,51382,192.168.100.3,80,15,900,INT,4,1528099381,143,13.974801,3.999009,0.792875,11.997027,3.018878,4.960753,15,0,900,0,1.001803,1.001803,0,68220,81420,1137,1357,1357,1357,1.04305,0.974858,100,78,1.07336,0.974858,1357,1137,1,DDoS,UDP
3415232,1528099368,e,1,udp,3,192.168.100.147,51383,192.168.100.3,80,15,900,INT,4,1528099381,144,13.9748,3.999009,0.792875,11.997026,3.018877,4.960753,15,0,900,0,1.001803,1.001803,0,68220,81420,1137,1357,1357,1357,1.04305,0.974858,100,78,1.07336,0.974858,1357,1137,1,DDoS,UDP
3415233,1528099368,e,1,udp,3,192.168.100.147,51384,192.168.100.3,80,15,900,INT,4,1528099381,145,13.974801,3.999009,0.792873,11.997026,3.018877,4.960752,15,0,900,0,1.001803,1.001803,0,68220,81420,1137,1357,1357,1357,1.04305,0.974858,100,78,1.07336,0.974858,1357,1137,1,DDoS,UDP
3415234,1528099368,e,1,udp,3,192.168.100.147,51385,192.168.100.3,80,15,900,INT,4,1528099381,146,13.9748,3.999009,0.792873,11.997026,3.018877,4.960752,15,0,900,0,1.001803,1.001803,0,68220,81420,1137,1357,1357,1357,1.04305,0.974858,100,78,1.07336,0.974858,1357,1137,1,DDoS,UDP
3415235,1528099368,e,1,udp,3,192.168.100.147,51386,192.168.100.3,80,15,900,INT,4,1528099381,147,13.974801,3.999009,0.792873,11.997026,3.018877,4.960752,15,0,900,0,1.001803,1.001803,0,68220,81420,1137,1357,1357,1357,1.04305,0.974858,100,78,1.07336,0.974858,1357,1137,1,DDoS,UDP
3415236,1528099368,e,1,udp,3,192.168.100.147,51387,192.168.100.3,80,15,900,INT,4,1528099381,148,13.9748,3.999008,0.792875,11.997025,3.018877,4.960752,15,0,900,0,1.001803,1.001803,0,68220,81420,1137,1357,1357,1357,1.04305,0.974858,100,78,1.07336,0.974858,1357,1137,1,DDoS,UDP
3415237,1528099368,e,1,udp,3,192.168.100.147,51388,192.168.100.3,80,15,900,INT,4,1528099381,149,13.974801,3.999008,0.792874,11.997025,3.018877,4.960751,15,0,900,0,1.001803,1.001803,0,68220,81420,1137,1357,1357,1357,1.04305,0.974858,100,78,1.07336,0.974858,1357,1137,1,DDoS,UDP
3415238,1528099368,e,1,udp,3,192.168.100.147,51389,192.168.100.3,80,15,900,INT,4,1528099381,150,13.9748,3.999008,0.792873,11.997025,3.018877,4.960751,15,0,900,0,1.001803,1.001803,0,68220,81420,1137,1357,1357,1357,1.04305,0.974858,100,78,1.07336,0.974858,1357,1137,1,DDoS,UDP
