ts,src_ip,src_port,dst_ip,dst_port,proto,service,duration,src_bytes,dst_bytes,conn_state,missed_bytes,src_pkts,src_ip_bytes,dst_pkts,dst_ip_bytes,dns_query,dns_qclass,dns_qtype,dns_rcode,dns_AA,dns_RD,dns_RA,dns_rejected,ssl_version,ssl_cipher,ssl_resumed,ssl_established,ssl_subject,ssl_issuer,http_trans_depth,http_method,http_uri,http_version,http_request_body_len,http_response_body_len,http_status_code,http_user_agent,http_orig_mime_types,http_resp_mime_types,weird_name,weird_addl,weird_notice,label,type
1556203851,192.168.1.30,45414,192.168.1.1,53,udp,dns,0.000005,1,1,SF,0,1,10,1,10,https://192.168.1.184.hub,1,1,3,F,T,F,T,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,1,ddos
1556203851,192.168.1.30,47134,192.168.1.1,53,udp,dns,0.000013,2,2,SF,0,1,5,1,5,https://192.168.1.184,1,1,3,F,T,F,T,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,1,ddos
1556203851,192.168.1.30,52421,192.168.1.1,53,udp,dns,0.000015,3,3,SF,0,1,5,1,5,testphp.vulnweb.com,1,1,0,F,T,T,F,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,1,ddos
1556203851,192.168.1.30,52421,192.168.1.1,53,udp,dns,0.000015,1,1,SF,0,1,10,1,10,testphp.vulnweb.com,1,28,0,F,T,F,T,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,1,ddos
1556203867,192.168.1.31,33075,192.168.1.1,53,udp,dns,0.002596,1,1,SF,0,1,76,1,76,192.168.1.195/dvwa/login.php-r,1,1,3,F,T,F,T,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,1,ddos
1556203867,192.168.1.31,35826,192.168.1.1,53,udp,dns,0.009395,0,0,SF,0,1,80,1,80,192.168.1.195/dvwa/login.php-r.hub,1,1,3,F,T,F,T,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,1,ddos
1556203867,192.168.1.31,38683,192.168.1.1,53,udp,dns,0.001814,0,0,SF,0,1,76,1,76,192.168.1.195/dvwa/login.php-r,1,1,3,F,T,F,T,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,1,ddos
1556203867,192.168.1.31,40416,192.168.1.1,53,udp,dns,0.000029,2,2,SF,0,1,76,1,76,192.168.1.195/dvwa/login.php-r,1,1,3,F,T,F,T,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,1,ddos
1556203867,192.168.1.31,40583,192.168.1.1,53,udp,dns,0.000254,1,1,SF,0,2,130,2,146,testphp.vulnweb.com,1,1,0,F,T,T,F,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,1,ddos
1556203867,192.168.1.31,41049,192.168.1.1,53,udp,dns,7.649714,1,1,SF,0,2,156,1,80,192.168.1.195/dvwa/login.php-r.hub,1,1,3,F,T,F,T,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,1,ddos
1556203867,192.168.1.31,41213,192.168.1.1,53,udp,dns,0.000029,1,1,SF,0,1,67,1,67,https://192.168.1.184,1,1,3,F,T,F,T,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,1,ddos
1556203867,192.168.1.31,42921,192.168.1.1,53,udp,dns,0.000021,1,1,SF,0,1,86,1,86,testphp.vulnweb.com/listproducts.php.hub,1,1,3,F,T,F,T,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,1,ddos
1556203867,192.168.1.31,43279,192.168.1.1,53,udp,dns,0.010926,1,1,SF,0,1,71,1,71,https://192.168.1.184.hub,1,1,3,F,T,F,T,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,1,ddos
1556203867,192.168.1.31,44887,192.168.1.1,53,udp,dns,0.00001,1,1,SF,0,1,82,1,82,testphp.vulnweb.com/listproducts.php,1,1,3,F,T,F,T,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,1,ddos
1556203867,192.168.1.31,45394,192.168.1.1,53,udp,dns,0,0,0,S0,0,1,82,0,0,testphp.vulnweb.com/listproducts.php,1,1,0,F,T,F,F,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,1,ddos
1556203867,192.168.1.31,47219,192.168.1.1,53,udp,dns,0.000025,1,1,SF,0,1,76,1,76,192.168.1.195/dvwa/login.php-r,1,1,3,F,T,F,T,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,1,ddos
