Index,Date time,Duration,Source IP,Destination IP,Source Port,Destination Port,Protocol,Flag,Forwarding status,ToS,Packets,Bytes,Label
99,2016-07-27 13:48:28,0.0,67.136.232.153,42.219.154.100,37233,53,UDP,.A....,0,40,1,86,background
199,2016-07-27 13:52:55,0.0,42.219.159.85,150.153.68.58,53292,443,TCP,.A....,0,0,1,41,background
299,2016-07-27 13:57:38,0.132,216.60.237.98,42.219.155.56,51525,80,TCP,.AP.SF,0,0,10,959,background
399,2016-07-27 14:02:26,0.0,49.184.228.41,42.219.147.140,50252,25,TCP,....S.,0,0,1,48,background
499,2016-07-27 14:07:09,0.0,57.66.186.184,42.219.159.194,53,56038,UDP,.A....,0,0,1,272,background
599,2016-07-27 14:12:09,0.0,143.72.8.137,42.219.154.98,53,50183,UDP,.A....,0,0,1,91,background
699,2016-07-27 14:17:11,4.336,42.219.159.86,43.164.49.177,58091,443,TCP,.AP.S.,0,0,17,1806,background
799,2016-07-27 14:22:22,2.992,42.219.159.90,178.166.199.110,14085,445,TCP,....S.,0,0,2,96,background
899,2016-07-27 14:27:39,0.64,42.219.156.211,214.47.162.185,80,2037,TCP,.AP.SF,0,0,5,972,background
999,2016-07-27 14:32:48,0.0,42.219.153.156,189.25.46.29,53,37395,UDP,.A....,0,0,1,78,background
1099,2016-07-27 14:38:08,0.0,143.72.8.137,42.219.157.213,53,57710,UDP,.A....,0,0,1,67,background
1199,2016-07-27 14:43:26,0.0,60.29.82.222,42.219.157.12,53,56089,UDP,.A....,0,0,1,1041,background
1299,2016-07-27 14:48:32,0.432,36.67.32.206,42.219.154.128,51243,38723,TCP,.AP.SF,0,2,253,377991,background
1399,2016-07-27 14:53:41,0.0,73.99.97.117,42.219.158.42,54088,53413,UDP,.A....,0,40,2,197,background
1499,2016-07-27 14:59:01,0.0,42.219.158.190,248.167.181.190,53,58887,UDP,.A....,0,0,1,138,background
1599,2016-07-27 15:04:11,0.728,188.31.65.93,42.219.153.128,27465,80,TCP,.AP.SF,0,26,10,746,background
1699,2016-07-27 15:09:43,0.08,218.64.40.140,42.219.147.178,443,39823,TCP,.AP.SF,0,0,5,3415,background
1799,2016-07-27 15:15:06,1.048,42.219.158.226,85.236.114.59,80,42988,TCP,.AP.SF,0,0,27,36024,background
1899,2016-07-27 15:20:18,0.368,42.219.154.108,54.143.54.96,80,6801,TCP,.A..SF,0,0,3,128,background
1999,2016-07-27 15:25:30,0.0,42.219.155.103,121.106.65.118,53,34782,UDP,.A....,0,0,1,122,background
2099,2016-07-27 15:30:48,0.0,42.219.154.1,143.72.8.137,37773,53,UDP,.A....,0,0,1,67,background
2199,2016-07-27 15:36:04,4.196,42.219.156.211,214.237.110.102,80,38343,TCP,.AP.SF,0,0,4,992,background
2299,2016-07-27 15:41:17,0.0,42.219.155.59,221.167.85.203,50833,443,TCP,.A....,0,0,1,40,background
2399,2016-07-27 15:46:06,0.0,192.18.224.191,42.219.153.62,39619,53,UDP,.A....,0,40,1,62,background
2499,2016-07-27 15:51:13,7.14,37.253.19.114,42.219.156.229,58435,143,TCP,.AP...,0,0,13,1035,background
2599,2016-07-27 15:56:27,2.944,42.219.159.95,64.63.103.41,56620,445,TCP,....S.,0,0,2,96,background
2699,2016-07-27 16:01:27,0.0,42.219.153.62,76.172.223.23,53,44163,UDP,.A....,0,0,1,166,background
2799,2016-07-27 16:06:17,5.052,201.164.247.64,42.219.156.211,39901,80,TCP,.AP.SF,0,0,6,709,background
2899,2016-07-27 16:11:04,0.0,176.42.238.201,42.219.153.110,42609,53,UDP,.A....,0,0,1,71,background
2999,2016-07-27 16:15:59,2.78,74.217.223.37,42.219.158.156,23873,443,TCP,.AP.SF,0,72,9,2007,background
3099,2016-07-27 16:20:49,0.0,204.97.73.50,42.219.158.190,38403,53,UDP,.A....,0,0,1,108,background
3199,2016-07-27 16:25:44,0.0,42.219.158.191,51.89.153.41,53,56860,UDP,.A....,0,0,1,178,background
3299,2016-07-27 16:30:27,0.0,176.42.238.201,42.219.153.62,60839,53,UDP,.A....,0,0,1,67,background
3399,2016-07-27 16:35:09,0.0,143.72.8.137,42.219.158.161,53,56360,UDP,.A....,0,0,1,97,background
3499,2016-07-27 16:39:55,0.0,42.156.13.98,42.219.153.62,27871,53,UDP,.A....,0,0,1,74,background
3599,2016-07-27 16:44:49,0.0,42.219.153.155,201.162.161.172,443,55709,TCP,.AP...,0,0,2,266,background
3699,2016-07-27 16:50:03,16.952,69.117.117.43,42.219.154.197,51647,80,TCP,.AP.SF,0,0,32,3437,background
3799,2016-07-27 16:54:55,10.144,42.219.159.85,101.149.196.215,27163,443,TCP,.AP.SF,0,0,14,1608,background
3899,2016-07-27 16:59:58,0.0,196.22.219.104,42.219.153.62,49642,53,UDP,.A....,0,0,1,75,background
3999,2016-07-27 17:04:42,0.0,204.97.75.50,42.219.153.7,43220,53,UDP,.A....,0,0,1,63,background
4099,2016-07-27 17:09:34,0.0,42.219.153.62,43.246.125.200,53,39551,UDP,.A....,0,0,1,166,background
4199,2016-07-27 17:14:10,0.44,42.219.156.211,165.129.22.35,80,34207,TCP,.AP.SF,0,0,4,895,background
4299,2016-07-27 17:18:28,5.076,213.207.36.139,42.219.154.168,44879,80,TCP,.AP.SF,0,40,6,1138,background
4399,2016-07-27 17:23:01,0.0,185.220.236.209,42.219.153.89,443,53953,TCP,.A....,0,72,1,52,background
4499,2016-07-27 17:27:20,0.292,43.164.45.78,42.219.159.85,443,26294,TCP,.AP.SF,0,0,14,11517,background
4599,2016-07-27 17:32:00,1.04,209.34.10.166,42.219.156.211,51812,443,TCP,.AP.SF,0,0,9,1151,background
4699,2016-07-27 17:36:41,0.0,217.168.145.26,42.219.157.60,56165,80,TCP,.A....,0,40,1,41,background
4799,2016-07-27 17:41:25,0.08,221.167.85.203,42.219.147.178,443,56185,TCP,.AP.S.,0,0,10,8834,background
4899,2016-07-27 17:46:07,0.0,143.72.8.137,42.219.159.92,53,56874,UDP,.A....,0,0,1,125,background
4999,2016-07-27 17:50:38,0.0,143.72.8.137,42.219.154.101,53,42129,UDP,.A....,0,0,1,114,background
5099,2016-07-27 17:55:20,0.0,209.150.28.73,42.219.153.62,30440,53,UDP,.A....,0,0,1,64,background
5199,2016-07-27 18:00:13,0.0,194.231.140.151,42.219.148.89,33968,5006,UDP,.A....,0,40,1,69,background
