srcip,dstip,spkts,dur,sbytes,dbytes,Dpkts,sttl,dttl,sload,proto,sloss,dloss,sinpkt,dinpkt,sjit,djit,swin,stcpb,dtcpb,dsport,dst_ip_bytes,synack,ackdat,smean,dmean,trans_depth,response_body_len,ct_srv_src,ct_state_ttl,ct_dst_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,is_ftp_login,ct_ftp_cmd,ct_flw_http_mthd,ct_src_ltm,ct_srv_dst,is_sm_ips_ports,,attack_cat,label,Stime
59.166.0.9,149.171.126.7,FIN,0.201886,37552,3380,31,29,18,8,smtp,1459437.5,130766.8672,52,42,255,255,1422136554,3572668484,722,80,0,0,456.043567,15.530109,1424250009,1424250009,3.943843,4.912488,0.00059,0.000473,0.000117,0,0,,, ,2,2,7,4,Normal,0,195555552
175.45.176.1,149.171.126.11,INT,0.000009,440,0,254,0,0,0,-,195555552,0,2,0,0,0,0,0,220,0,0,0,0,0,1424250010,1424250010,0.009,0,0,0,0,0,2,,, ,1,1,1,1,DoS,1,195555552
175.45.176.1,149.171.126.11,INT,0.000009,440,0,254,0,0,0,-,195555552,0,2,0,0,0,0,0,220,0,0,0,0,0,1424250010,1424250010,0.009,0,0,0,0,0,2,,, ,1,1,1,1,DoS,1,195555552
175.45.176.1,149.171.126.11,INT,0.000009,440,0,254,0,0,0,-,195555552,0,2,0,0,0,0,0,220,0,0,0,0,0,1424250010,1424250010,0.009,0,0,0,0,0,2,,, ,1,1,1,1,DoS,1,195555552
175.45.176.1,149.171.126.11,INT,0.000009,440,0,254,0,0,0,-,195555552,0,2,0,0,0,0,0,220,0,0,0,0,0,1424250010,1424250010,0.009,0,0,0,0,0,2,,, ,1,1,1,1,DoS,1,39110.18359
175.45.176.2,149.171.126.12,FIN,1.398715,7058,9826,254,252,13,13,http,39110.18359,54329.86719,32,30,255,255,344430424,1982150237,221,328,1,98,2161.334373,56.216523,1424250042,1424250043,45.119838,47.574551,0.058303,0.009852,0.048451,0,1,1,, ,2,1,1,1,DoS,1,13615.21094
175.45.176.2,149.171.126.11,INT,1.586461,2858,0,254,0,0,0,-,13615.21094,0,18,0,0,0,0,0,159,0,0,0,171.851906,0,1424250061,1424250063,93.321234,0,0,0,0,0,2,,, ,1,1,1,1,DoS,1,13615.21094
175.45.176.2,149.171.126.11,INT,1.586461,2858,0,254,0,0,0,-,13615.21094,0,18,0,0,0,0,0,159,0,0,0,171.851906,0,1424250061,1424250063,93.321234,0,0,0,0,0,2,,, ,1,1,1,1,DoS,1,13615.21094
175.45.176.2,149.171.126.11,INT,1.586461,2858,0,254,0,0,0,-,13615.21094,0,18,0,0,0,0,0,159,0,0,0,171.851906,0,1424250061,1424250063,93.321234,0,0,0,0,0,2,,, ,1,1,1,1,DoS,1,13615.21094
175.45.176.2,149.171.126.11,INT,1.586461,2858,0,254,0,0,0,-,13615.21094,0,18,0,0,0,0,0,159,0,0,0,171.851906,0,1424250061,1424250063,93.321234,0,0,0,0,0,2,,, ,1,1,1,1,DoS,1,13615.21094
175.45.176.2,149.171.126.11,INT,1.586461,2858,0,254,0,0,0,-,13615.21094,0,18,0,0,0,0,0,159,0,0,0,171.851906,0,1424250061,1424250063,93.321234,0,0,0,0,0,2,,, ,1,1,1,1,DoS,1,13615.21094
175.45.176.2,149.171.126.11,INT,1.586461,2858,0,254,0,0,0,-,13615.21094,0,18,0,0,0,0,0,159,0,0,0,171.851906,0,1424250061,1424250063,93.321234,0,0,0,0,0,2,,, ,1,1,1,1,DoS,1,13615.21094
175.45.176.2,149.171.126.11,INT,1.586461,2858,0,254,0,0,0,-,13615.21094,0,18,0,0,0,0,0,159,0,0,0,171.851906,0,1424250061,1424250063,93.321234,0,0,0,0,0,2,,, ,1,1,1,1,DoS,1,767994.25
175.45.176.3,149.171.126.12,FIN,0.157147,15880,268,254,252,7,1,http,767994.25,11403.33496,20,6,255,255,3446260647,513276937,794,45,1,0,608.950794,49.283172,1424250080,1424250080,7.562158,29.978,0.05151,0.007248,0.044262,0,1,1,, ,1,1,1,1,DoS,1,31040.4668
175.45.176.3,149.171.126.12,FIN,0.202832,874,268,254,252,2,1,http,31040.4668,8834.897461,10,6,255,255,249958186,1954270289,87,45,1,0,1118.428044,49.503172,1424250093,1424250093,20.609444,33.16,0.08465,0.037026,0.047624,0,1,1,, ,1,1,1,1,DoS,1,23798.25391
175.45.176.3,149.171.126.11,FIN,0.24506,810,3882,62,252,2,3,http,23798.25391,114061.8672,10,10,255,255,1783893040,2600802403,81,388,1,1490,1455.62267,1369.386552,1424250119,1424250119,27.228889,17.518222,0.101262,0.05524,0.046022,0,1,1,, ,1,1,1,1,DoS,1,23331.00195
175.45.176.2,149.171.126.12,FIN,0.258883,838,2404,62,252,2,2,http,23331.00195,65017.78906,10,8,255,255,1554193257,3227236606,84,301,1,779,1529.70783,62.127727,1424250166,1424250167,28.764778,33.726145,0.06656,0.015303,0.051257,0,1,1,, ,3,1,1,1,DoS,1,24612.31445
175.45.176.0,149.171.126.10,FIN,0.272709,932,1022,62,252,2,2,http,24612.31445,26255.0918,10,8,255,255,4200561532,2441563309,93,128,1,99,1525.306962,54.885195,1424250224,1424250224,30.301,37.475145,0.05647,0.009739,0.046731,0,1,1,, ,1,1,1,1,DoS,1,9688.175781
175.45.176.0,149.171.126.10,FIN,0.535911,698,914,62,252,4,5,ftp,9688.175781,12673.74609,14,14,255,255,1122473181,2036752299,50,65,0,0,2057.341041,50.107098,1424250224,1424250225,41.223923,38.825617,0.063677,0.016208,0.047469,0,1,,, ,1,1,1,1,DoS,1,54421.76953
175.45.176.1,149.171.126.11,CON,0.009408,128,236,62,252,0,0,dns,54421.76953,100340.1406,2,2,0,0,0,0,64,118,0,0,0,0,1424250228,1424250228,0.009,0.003,0,0,0,0,3,,, ,1,1,1,1,DoS,1,20839.375
175.45.176.0,149.171.126.11,FIN,0.193096,558,268,254,252,2,1,http,20839.375,9280.358398,10,6,255,255,3491564037,3880923678,56,45,1,0,1027.601226,60.645777,1424250251,1424250251,19.431778,36.968199,0.054701,0.008248,0.046453,0,1,1,, ,1,1,1,1,DoS,1,20826.73633
175.45.176.0,149.171.126.10,FIN,0.268501,776,1186,62,252,2,2,-,20826.73633,30927.25781,10,8,255,255,3465804045,929101053,78,148,1,0,1469.641655,53.480066,1424250292,1424250292,29.833444,37.071,0.054732,0.00838,0.046352,0,1,4,, ,1,1,2,2,DoS,1,20826.73633
